"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","1","2","3"
0,0.000772512919144739,0.000149504503542696,0.00885650920157631,0.00138778778967535,5.44725532501913e-05,3.57312839571867e-05,9.66765807153753e-05,4.4132189797481e-05,2.44477283088612e-05,1.50633771162666e-05,1.98465105715729e-06,1.195244376356e-06,1.46144859656437e-06,1.25350209071317e-06,1.46068073055314e-05,0.000130219793228816,2.1411381398414e-05,3.35887703809072e-06,1.86277703200816e-06,2.53038888363934e-06,1.93871164579513e-06,1.49392132804067e-05,5.96217325968654e-06,1.16213280976339e-05,1.25743964418019e-06,1.43553447041278e-05,1.56053196068526e-05,4.57715276337099e-06,2.80053620263493e-06,2.1519621769809e-06,3.65199699357727e-06,2.58636614014454e-05,0.00050478044567725,2.90572156157397e-06,6.05469795511535e-05,0.000128442093606162,4.71946046462473e-06,2.30159876612821e-06,8.00093704289389e-06,7.86662228872344e-06,6.23365150167045e-06,3.98910401329375e-06,1.35548335790675e-06,2.36296938204734e-06,4.32987785555381e-06,1.35335555581577e-06,5.40688115067173e-06,3.52961485464778e-06,2.85937446729358e-06,2.17039741334081e-06,1.34324306522378e-06,1.67780994410521e-06,1.82703031555065e-05,1.55509030044354e-06,1.34397818265316e-06,4.82647741923879e-06,4.99489845850961e-06,1.4516719228637e-05,4.91929725138257e-06,2.47578256056953e-05,1.75118706300245e-06,1.74826868739271e-06,0.000364089333743927,0.000188569102734064,0.00335798193059757,0.000116659175481516,0.000252161036717892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13916457477706e-06,2.79559487367976e-05,2.80755691927562e-05
0.000149296532087349,0,0.000157484496382,7.90218821124311e-05,0.000892324905105433,2.80292403740633e-05,1.29247654358338e-05,3.48604217389957e-05,4.31560280935682e-05,1.03731967976498e-05,8.47833506509791e-06,1.13258934215094e-06,6.8560588796603e-07,8.44399490329039e-07,7.50588942443581e-07,6.36511696065298e-06,3.63700623641092e-05,8.60335669205142e-06,1.05824904919979e-06,6.70527261669017e-07,1.06140913817183e-06,6.88464226744594e-07,4.8608092364106e-06,1.87789781312947e-06,4.7289717548788e-06,6.11357429022416e-07,4.38462401731737e-06,5.15244100007871e-06,1.7012952257303e-06,8.84613430272046e-07,1.0822189475434e-06,1.10851222826481e-06,9.7708353811536e-06,6.12300001159205e-05,1.77464569138858e-06,4.0520614953815e-05,4.14392441679017e-05,3.58972561696158e-06,1.31464612231717e-06,5.94869739002016e-06,4.47867811724445e-06,3.84238978091546e-06,2.27411744668921e-06,8.57579829230509e-07,1.681207014914e-06,2.48519695610785e-06,7.69483935045964e-07,3.09831082242148e-06,2.1894390994691e-06,1.53602664843877e-06,1.22868845272951e-06,7.3177565482224e-07,9.2599644856976e-07,1.35064015536431e-05,8.70719532052701e-07,7.6669885340581e-07,2.73461275383839e-06,2.75518579902829e-06,8.38497911777355e-06,2.78503600273951e-06,1.41601624352433e-05,1.01830873450716e-06,9.83971885181173e-07,8.26632746743321e-05,0.000128125098864448,0.00020506749388917,5.19250074193131e-05,0.0001000388370168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92763181303729e-06,1.58171330865439e-05,1.67765284098664e-05
0.000142911854807645,0.000231732575527663,0,9.83577965546104e-05,0.00168585497187005,6.65783787256289e-05,1.96112886133664e-05,3.01252509730488e-05,0.000313957724707586,2.05698714349426e-05,1.86402351474132e-05,2.79456228216836e-06,1.67264254112919e-06,1.92491852172181e-06,2.1001540125105e-06,1.23764994598606e-05,3.31636130839849e-05,2.0373053204071e-05,2.48373780226635e-06,1.48996497482163e-06,2.17240318670674e-06,1.58977956396608e-06,1.15679987854845e-05,4.48219455812743e-06,8.09372752704669e-06,1.34626373460088e-06,9.98120939973277e-06,1.08753696766829e-05,3.65785771301352e-06,2.02919938246676e-06,2.38885663232477e-06,2.53798164845868e-06,2.91576652914905e-05,0.000175578491252289,4.30622522680034e-06,0.000124516324522688,3.70440746847457e-05,7.94285827647851e-06,2.78509653840891e-06,8.89115742624812e-06,9.19648142338986e-06,8.28971442563997e-06,4.72560088688253e-06,2.10965093166396e-06,3.50369696887271e-06,5.21018196316279e-06,1.70312761460928e-06,5.72575981734619e-06,4.72502565718861e-06,2.66920223614736e-06,2.63408531946699e-06,1.45538271289909e-06,1.84405352299262e-06,2.12926030263074e-05,1.67451915840091e-06,1.63817190060245e-06,6.03257272703837e-06,5.49356334179676e-06,1.73835393172371e-05,5.47042130582724e-06,2.95976686962181e-05,1.97589265725948e-06,2.15984297625637e-06,6.02777471261831e-05,0.000115848710284501,0.000135268111366981,4.38959638116238e-05,8.04940951947733e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23835873420708e-06,1.66436104456857e-05,1.7404311576e-05
0.0121701186106875,0.000428969114532745,0.000140083773036088,0,0.0010285713141099,3.92319845699064e-05,1.64229867798535e-05,4.07069571591099e-05,2.34160463126925e-05,1.25672220676039e-05,7.50538563878577e-06,9.87863776064494e-07,5.91372141994034e-07,7.28288976242944e-07,6.36950162749821e-07,7.39895761423246e-06,5.52147372181743e-05,1.18432035985803e-05,1.64397567352133e-06,8.85324269780291e-07,1.27215976979013e-06,9.69199759506134e-07,7.50290001270069e-06,3.04927456143212e-06,5.6735848905852e-06,6.25630259854367e-07,6.88507866270137e-06,7.04939622290996e-06,2.3021349219205e-06,1.38476954094726e-06,1.05968723281626e-06,1.90094281795425e-06,1.40694618681055e-05,0.000440437661671021,1.48879871030926e-06,3.04793325054111e-05,5.31338789309045e-05,2.45155615892759e-06,1.1415761310824e-06,3.88105392913926e-06,3.85500594388208e-06,3.07862175495694e-06,1.95543967421028e-06,6.80234600321397e-07,1.17752087716226e-06,2.10216788940026e-06,6.73239511120213e-07,2.68177324838939e-06,1.74454260470898e-06,1.24952753179641e-06,1.07884335864332e-06,6.41403091832125e-07,8.10190673064924e-07,8.95320822285609e-06,7.61914249792582e-07,6.47773163668623e-07,2.40504579996972e-06,2.41218874386171e-06,7.07859948785008e-06,2.40186470525e-06,1.20543073591013e-05,8.42144190273745e-07,8.71325910316667e-07,9.70473594337334e-05,8.43898231211614e-05,0.00119198987200101,4.85290515386992e-05,0.000103665341364787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18456366018927e-06,1.18644632572314e-05,1.19743771127826e-05
0.00046531784404726,0.000876360523838578,0.00144505746794978,0.000343357940872028,0,0.00011519556233543,3.71890853216805e-05,7.67873084741264e-05,0.000218144158606628,3.54003349711234e-05,2.75626348509998e-05,3.82361785640616e-06,2.27205098028256e-06,2.67237141777625e-06,2.64153062454768e-06,2.07337538064426e-05,8.77333843418358e-05,3.14780963435527e-05,4.22345247324917e-06,2.41279425819039e-06,3.67387482378755e-06,2.5313486191427e-06,1.93995305013504e-05,8.4746346125432e-06,1.52587334122605e-05,1.99669044805117e-06,1.71157041660616e-05,1.79149094175636e-05,6.16381169008861e-06,3.45258111456353e-06,3.53653799570927e-06,4.11523915254183e-06,5.02922098834828e-05,0.000343124655769647,5.97404969462952e-06,0.000131287011216211,9.51729562093518e-05,1.05601940400578e-05,3.93224186135224e-06,1.38040563958284e-05,1.36622542528759e-05,1.21181574220133e-05,7.13145493241876e-06,2.73687263648068e-06,4.70476281007324e-06,7.62584095951215e-06,2.46785316956567e-06,9.48110024743529e-06,6.89466566006279e-06,3.99903051691574e-06,3.9258339138013e-06,2.18475820760786e-06,2.76776243179876e-06,3.20580598237417e-05,2.51636900531902e-06,2.30391338710354e-06,8.78779298929352e-06,8.22438141290409e-06,2.58760481693123e-05,8.01028661533112e-06,4.17293901440635e-05,3.03964324340501e-06,3.18993578656912e-06,0.000163993512885015,0.000247339127064803,0.000417232048187842,9.39113220934462e-05,0.000185719302960288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67601402380047e-06,3.0803169222094e-05,3.26503812462521e-05
9.22347008657052e-05,2.30695939491623e-05,8.86294223389623e-05,7.45346565350506e-05,0.000166817427453484,0,2.52304327366984e-05,1.24387334284245e-05,3.47276290007299e-05,0.000418654300827167,1.0659716810474e-05,1.38861314239234e-06,8.69316503516097e-07,1.06134936801719e-06,1.0136835393154e-06,0.000125361309350074,2.01425397066545e-05,0.000507760960494419,3.24337436030464e-06,2.19849753108969e-06,3.53262723571678e-06,2.28711020957717e-06,1.50233104723703e-05,5.68962592921766e-06,1.54889690095844e-05,1.681123955865e-06,1.24638333795083e-05,1.2034528728767e-05,4.12289099825078e-06,2.51081427091415e-06,2.51364986781976e-06,3.47257155778586e-06,0.00215149615537154,0.00106209444671563,2.1424084227121e-06,2.48529819276143e-05,1.73556409331979e-05,3.45216828451431e-06,1.50227593726402e-06,3.96264322536725e-06,4.90387227950099e-06,4.0798581727347e-06,2.5299475594259e-06,9.64598292680348e-07,1.30536771101275e-06,2.79034179467026e-06,9.45747894141939e-07,3.16804155149e-06,2.32594313023676e-06,1.31247282728773e-06,1.51248601839458e-06,8.36358180597064e-07,1.05947499393555e-06,5.05461299643911e-06,9.61577469346446e-07,8.81111450157966e-07,3.38406312741777e-06,3.157167587613e-06,9.90781139378104e-06,3.05744221907026e-06,1.58239655064296e-05,1.00937410868673e-06,1.24109320575564e-06,1.04008207298942e-05,1.48992742485248e-05,3.31447123646095e-05,5.69290683578854e-06,1.10774717958295e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0132363419726e-06,5.02968776968949e-06,5.01152249221821e-06
6.92073448949304e-05,1.1051333544637e-05,1.79179992326356e-05,3.34507233512055e-05,3.75698705071759e-05,6.16203843661913e-05,0,0.000129950538490168,1.51804226466659e-05,0.000128905511271433,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.31455643075594e-06,9.3363488628239e-05,0.00023276497621845,0.000134161131595076,9.1605698510254e-06,5.60629015374144e-06,8.97620741932605e-06,5.42512600155822e-06,3.55514094174789e-05,1.72422579592901e-05,0.00141119329593037,4.69066243394146e-06,6.9068209131672e-05,5.90861949100011e-05,1.37928050949921e-05,1.03233228402696e-05,8.1019452812399e-06,9.68639621396581e-06,7.89112937200733e-05,4.71724232467315e-05,1.24767573687138e-05,3.36599597025356e-05,0.000232559271100361,3.82172085940524e-06,1.24767573687138e-05,7.63161256859952e-06,1.24767573687138e-05,6.30932030129586e-06,1.24767573687138e-05,1.34125741500607e-06,1.72248381096961e-06,1.24767573687138e-05,1.24767573687138e-05,5.86412208648682e-06,3.52753652959623e-06,2.71914167326964e-06,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,8.58151837796473e-06,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.70214675207078e-06,1.24767573687138e-05,1.27642452541625e-05,2.55690730224177e-05,4.3718067660417e-05,9.14329911982265e-06,1.6797927391275e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85389899371328e-06,1.21710861000201e-05,1.1004906012519e-05
0.00024143267085797,7.1100065131464e-05,6.9433635928388e-05,9.3807187199297e-05,0.000171409876708311,4.13720555740349e-05,0.0001178894516807,0,3.39946148098e-05,3.26089684340643e-05,1.24767573687138e-05,2.40624445779703e-06,1.45402924262454e-06,1.8820067788257e-06,1.47615747662635e-06,2.04028110906961e-05,0.00487728965449897,2.77441477285987e-05,4.87044792747211e-06,2.86407313550217e-06,4.34279969972151e-06,2.62152353165402e-06,1.94963783251087e-05,9.30139730521845e-06,2.30482934017661e-05,1.80541632984176e-06,2.90491409358394e-05,2.29722811830654e-05,8.19228334282292e-06,4.97751596149933e-06,3.06299162533129e-06,5.08791884498006e-06,2.60373458354603e-05,7.00130157105778e-05,3.62355569160918e-06,3.76996269548929e-05,0.00898420962394404,4.53887318761628e-06,3.02505167935611e-06,1.77714224534231e-05,1.02992273539415e-05,9.67480504407572e-06,5.11795696998931e-06,1.79290957903492e-06,2.53191495410614e-06,5.52592839966342e-06,1.83545019578088e-06,1.01108128338078e-05,5.36436838967444e-06,4.43932901813064e-06,3.03424647307566e-06,1.94282109552138e-06,2.36857473901066e-06,2.276791010657e-05,2.36559514970211e-06,1.74425030503388e-06,6.35854323975511e-06,7.25070571177592e-06,1.97301650711788e-05,6.78038701173542e-06,3.21064427259064e-05,2.96912432679467e-06,1.24767573687138e-05,0.000175691593033609,0.000432129514541968,0.000535683876901601,0.000150456999213157,0.00026915768112788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70694821885087e-06,0.000284737211290101,0.000188550840095045
6.87198902812001e-05,7.436608304717e-05,0.000938283576247033,3.75096357526941e-05,0.000478766895145419,6.21741974800716e-05,1.10359919920384e-05,1.57538940068913e-05,0,2.71393569619134e-05,2.46475045739745e-05,4.03183171153421e-06,2.61634972071011e-06,2.72517168780729e-06,3.60825556443791e-06,1.70446151516351e-05,1.71973605034462e-05,1.91793897673427e-05,2.56759376055842e-06,1.5495860713403e-06,2.40712202956964e-06,1.62062784348712e-06,1.24203670918051e-05,4.94286049874319e-06,5.49443262049526e-06,1.51767255901313e-06,9.08105511737821e-06,1.04972586500195e-05,3.85649185868132e-06,1.86230428819704e-06,2.69207103870509e-06,2.57217262730907e-06,2.81686602499947e-05,0.000105799110942341,6.40909411302139e-06,0.000726248760998543,1.95263423417173e-05,1.11141778006495e-05,3.40913049333146e-06,7.46654452843251e-06,1.1024636321668e-05,9.12389605550107e-06,5.76255695261932e-06,2.94853235137415e-06,4.16160850225936e-06,6.45179195572683e-06,2.14070601327772e-06,6.33483783648937e-06,5.26640973261767e-06,2.46943635580089e-06,3.12928002948147e-06,1.63093775611844e-06,2.11389853802841e-06,2.88912057947374e-05,1.90352419734046e-06,2.02662840443547e-06,7.71530928275883e-06,6.15740569717256e-06,2.14629536576284e-05,6.33012229293856e-06,3.6083755033886e-05,1.8920232038554e-06,2.79069014712769e-06,3.15892285409531e-05,5.60208584645557e-05,6.88651754708564e-05,2.10144749914547e-05,3.94284344827863e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77775747551605e-06,8.28439529199061e-06,8.79995729325705e-06
1.76256347011877e-05,6.24238488448247e-06,1.57459217463853e-05,1.03952174710038e-05,2.60996334178456e-05,0.000164178000689349,4.63501297291622e-05,1.12280112133857e-05,1.39844681346419e-05,0,1.24767573687138e-05,1.48963343739492e-06,9.47981334089056e-07,1.24767573687138e-05,1.05377141819699e-06,0.00142661380280523,1.321315477326e-05,0.000709394544256996,7.91900341416898e-06,3.50755813479415e-06,5.26968128200669e-06,3.7502735660407e-06,3.30417509789993e-05,1.59231556687876e-05,0.000102456739861379,2.76773115266551e-06,2.66281756597675e-05,6.05720789720393e-05,1.49109580054366e-05,5.34596750727714e-06,4.75471630676166e-06,6.40156374956193e-06,0.00024337670337548,3.3240236905474e-05,2.15359621384953e-06,2.54433790869172e-05,1.47503923523912e-05,3.33231190328283e-06,1.24767573687138e-05,3.79860493515752e-06,1.24767573687138e-05,4.07486465311396e-06,1.24767573687138e-05,9.60442517512176e-07,1.33085844873534e-06,1.24767573687138e-05,1.24767573687138e-05,3.43565622839004e-06,2.30988188598444e-06,1.34285228964978e-06,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,5.27161261076079e-06,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.24767573687138e-05,1.01845765574713e-06,1.24767573687138e-05,5.47333445337203e-06,1.24916933778795e-05,1.24407960580128e-05,4.48713687030246e-06,8.19555523671059e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08609497437769e-06,5.40334494357095e-06,5.33985309555649e-06
