"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
0,469.073978023965,859.033308837694,101.819969694167,535.02441508902,1021.77905806636,1567.44857677515,988.212623217923,1572.95426738321,1593.93315366867,5362.54902656726,4843.55473196264,4925.88982770851,5114.84119188873,4335.1444024656,1753.04733076541,880.434764964021,1390.7078327568,3168.29564330934,3799.09762455756,3989.26648726666,3764.46296201036,3234.5728880153,3082.37205674257,1933.95278354844,4801.42181211282,3142.77880461639,2666.46678320387,2935.9417786785,3191.21645103983,4934.57391616642,3451.66083391272,1257.19513430533,561.562290397435,4448.99776113493,2579.59892776309,951.93565294154,3447.83186572859,4969.63792313283,3224.04766772264,4821.66411181004,4204.2732040148,4835.09031664238,4139.15004543398,3608.47244130548,4908.10852231608,5138.55593909826,4335.75737832149,4174.41067752102,3697.42445297105,5134.71326537702,4862.39718360277,4897.44397235514,2269.39240574263,4768.53404498128,5013.68839619814,5220.04172731798,4901.8543848739,5075.87816327506,4819.66859937428,4921.17545215418,3972.61695777152,5474.9150416916,606.994422001848,866.541136444859,348.552779995278,793.352228446405,749.795664961828,1560.15069809105,553.225476173634,1564.73634498565,1676.91811995859,1651.12151525037,1436.82623534696,1875.93046409386,842.509207753747,1502.69533668019,2219.00879068465,1479.46145535646,1317.68467632577,2457.76388623626,2896.95840799856,2506.90657850332,1806.6889021177,4828.89744805195,4845.47923891506,645.302173019681,2565.99865913006,1549.68208527981,1543.94591495519
469.073978023965,0,554.787893775375,453.373394854225,290.038820672332,1246.37777038542,2034.07870545195,1313.57592810324,1282.24521029082,1906.08560160226,4895.61982802011,4382.50259887971,4477.00111299426,4649.36160929065,3873.49896617115,2076.47714379781,1273.34302370694,1724.98866246627,3536.72483783467,4207.72026860555,4413.99286627951,4142.85458370759,3587.78834466749,3445.34148573439,2352.62883241696,5212.07667041817,3549.62212350514,3019.80709966378,3297.99616678857,3593.81172806898,5341.84344565089,3846.13340429923,1548.1058273156,735.766820365394,3980.02913264674,2180.49724897884,1317.77126658408,2978.95474269755,4517.51517808957,2895.88159017618,4387.42904372361,3772.53415745192,4383.77597185304,3676.39063717599,3150.58844786573,4447.68971998071,4676.31173381638,4023.6260878652,3734.50287522805,3376.29953430592,4709.15780135128,4533.52649988004,4546.10538504125,1848.80389878323,4449.52015016443,4552.73214650232,4752.83170752946,4565.26439546724,4633.72436378082,4436.57323015618,4469.31027580596,3632.26961420682,5006.60188198101,530.30439064191,781.104484480114,425.659909935154,700.891149999439,658.380436150007,1657.29890747131,693.249747586974,2026.84849936846,1631.11474966635,2031.56113040673,1372.84339258314,1587.21907640793,1310.44843234801,1474.10984299818,1934.9037660957,1352.05831055406,1490.34067993936,1990.68014138952,2574.02892121319,2040.7687895979,1461.32208975879,4464.20373281369,4380.02735584072,723.210062700339,2313.66067683458,1619.64444850196,1558.14658659476
859.033308837694,554.787893775375,0,782.097736320158,326.627032864392,1102.95697964626,2271.53541418465,1822.25506594103,734.11908957997,1800.6468705998,4642.07698998187,4086.12527416994,4127.36625901403,4382.65153427853,3584.07940602143,1976.15035332183,1738.2002519428,1667.2967106922,3457.8895885859,4198.62269184724,4441.7899438392,4071.56007541806,3481.16013073746,3358.71052936647,2411.01798815823,5195.63163594015,3547.52483765783,2927.31100601725,3213.1749779468,3581.45848929431,5316.18675200815,3811.83549223047,1445.95894428404,700.645283687556,3796.98354760342,1730.76091658081,1803.28307073953,2780.86574972674,4470.39638252146,3165.44239347422,4409.84370970962,3811.42501310167,4341.83875233206,3578.79365380499,3093.79618738886,4356.89880348401,4570.93032415887,4296.10764603585,3746.72832640176,3646.18531322951,4754.30620677177,4775.54676252529,4752.36096806837,1977.17343490528,4706.98171231795,4457.37758474227,4600.60578287706,4795.11499465595,4626.06827669859,4585.99742310197,4423.90397714002,3869.01088705905,4772.73446673071,1082.14540870436,1320.31914883695,964.944791134635,1242.36566723952,1202.22474278332,2211.06343828804,1239.56416961259,2370.48473994157,2156.74688195797,2027.75377558394,1897.86532311332,1953.91010255281,1638.0756256205,2007.9824994619,2290.4639146963,1851.71025452606,2042.69596945714,1779.96153915104,2859.2847374459,1951.67752012863,1763.85473063715,4648.26018917529,4251.07094837996,1276.87253367524,2690.29537992227,2171.20585743029,2101.30399879566
101.819969694167,453.373394854225,782.097736320158,0,464.580459354421,937.747054235599,1585.49573297701,1084.55443176593,1485.79405550135,1531.72518555383,5327.7659060685,4800.82327229913,4873.63368147368,5077.54122669164,4293.27904233073,1694.39193833855,966.24641467419,1333.68306800669,3125.71196541382,3772.46967474879,3970.50961203662,3725.79125198113,3187.14648702858,3037.89273807525,1910.7337441055,4776.08921072855,3114.99106694415,2618.43022415233,2891.01063219251,3161.6036210711,4907.78214585823,3418.85456433937,1188.08125796211,464.403346503871,4425.44007775385,2509.81144408094,1042.83525409892,3419.95999242081,4970.08632465858,3272.54482112288,4833.6400131425,4217.42886620519,4836.15466319506,4129.33781527712,3603.92098598649,4900.99288148579,5129.32694333436,4389.2500131902,4183.00689352417,3748.19595238055,5151.26188377005,4912.08635987406,4941.05381212247,2286.66382419264,4820.64953970094,5005.9752963172,5202.85177618161,4949.5431283122,5083.2743416784,4853.31323690623,4921.82153012423,4018.67652385469,5443.71044444954,679.733600459126,945.378780535195,427.278523973831,869.733132687325,825.24645931782,1660.12379477484,649.817623007021,1612.37902033478,1767.01243781056,1610.45541491395,1523.96217975627,1930.58625289508,882.558269979183,1593.76422261834,2275.77767326077,1559.18198565872,1419.41040423484,2425.00237179066,2946.31360299648,2492.45117034124,1847.7116801936,4868.51044451234,4831.74356226318,738.30202741788,2629.95448075302,1648.3124512163,1638.86391535364
535.02441508902,290.038820672332,326.627032864392,464.580459354421,0,1021.36270580443,2009.07042823759,1496.82892567334,1055.32099669845,1706.44624650333,4892.63286390543,4353.49176794373,4415.16501125964,4638.34282141819,3847.64944272048,1880.58788033704,1412.3191818032,1542.97698579307,3357.72002707518,4061.41185315095,4285.45312615379,3968.81414324759,3397.41647695568,3262.74905543766,2230.78324699653,5064.51826136857,3404.62319807812,2833.10350502084,3115.62575424535,3444.24407941426,5190.33479650966,3687.44072618685,1345.00288908666,531.07717632058,4014.40000444313,2046.03788675053,1476.65709273715,3001.88952653893,4622.51781203959,3130.1303839677,4524.81821460108,3915.79051349014,4490.97038080337,3754.27810063602,3246.71176303291,4531.05665887584,4752.83186325411,4261.55584195459,3865.47139192082,3611.99233610207,4857.52875530211,4761.56820446828,4760.95118054694,2020.95068221927,4682.92490234686,4634.04568694501,4805.3258836433,4788.93589169446,4757.75593507251,4628.91133155633,4575.03102053535,3856.65574517641,5015.0252207041,809.86979424759,1068.00616242419,655.669830615517,987.272556573398,943.877102152274,1926.50152115485,931.631180789733,2071.51445512708,1919.74127322943,1877.1456589388,1661.82353910146,1848.24627042974,1339.05935735599,1761.03254319293,2194.29659745768,1641.81569782049,1738.54947268082,2000.44042408506,2812.70961668148,2113.85542738956,1699.40611232121,4670.37088438866,4443.85400650615,980.339199456394,2580.72330003166,1894.02637303964,1840.90266832887
1021.77905806636,1246.37777038542,1102.95697964626,937.747054235599,1021.36270580443,0,1471.02165290358,1800.88804001714,1427.64309001401,698.214112401839,5648.2471344515,5058.50942977526,5034.7706375718,5380.02190272123,4571.5739706392,873.856032726821,1585.97399627377,575.324694087109,2356.53548005057,3098.81518740403,3350.44298909909,2970.05878540542,2385.60454861996,2258.34515996711,1364.69051803924,4093.62084470633,2451.19792317316,1826.96386727569,2112.23175397748,2482.62904317761,4213.48071587879,2709.4712476024,344.349282432528,511.397009283004,4859.48755906979,2570.95622001256,1700.4049176385,3846.04048009572,5571.68229717294,4141.09268011649,5510.75215400698,4909.22567808127,5443.71368665173,4673.74384727695,4195.82387821331,5451.08279742665,5660.6789476551,5269.81063646149,4848.03465041048,4622.0032038151,5852.36081428323,5776.97309917459,5781.32824212111,3038.06596444234,5694.87124774781,5550.18053854759,5672.89843807346,5806.51015198743,5728.98810769323,5648.7534794368,5525.40229536039,4873.65550016546,5793.85142231533,1615.82349040836,1883.02338095509,1364.95246019561,1806.83535960933,1762.08435132586,2538.14144379717,1566.14293202602,1764.20739786593,2696.96833999273,951.792621147771,2458.57459503708,2828.65991676558,1170.10102459453,2521.7981654308,3176.49546808102,2496.79367513887,2259.21375556884,2855.97817597893,3820.08698822093,3053.62984205882,2706.67225351707,5691.72183612572,5334.40485883645,1664.1553834181,3546.13815280272,2541.03175063091,2554.52415296752
1567.44857677515,2034.07870545195,2271.53541418465,1585.49573297701,2009.07042823759,1471.02165290358,0,1397.51574588713,2824.19067693486,1262.85418292148,6901.69267581998,6356.63449390191,6392.89274340276,6646.75269893209,5852.91789137175,1268.36981533604,1162.46352975027,1116.70004812904,2046.89521419008,2445.64110655811,2560.89870325016,2544.72844667888,2176.31404821544,1997.578763604,778.51817491055,3407.90251939605,1837.15079478044,1697.34881225145,1876.12075469753,1902.55417890417,3550.68512799682,2181.55061494713,1280.05323333315,1593.88822734573,6010.79754295924,3954.34269173409,1254.84465561755,5003.73028246946,6524.00549411656,4575.70285402931,6347.70173973062,5729.00299163106,6388.51935609216,5705.63900286431,5171.31114663058,6472.55109123738,6704.48510864188,5617.65548300018,5712.44864411351,5018.5974303144,6643.42378733092,6168.41334825084,6253.51236672253,3795.02377639305,6054.19806873796,6578.58427941364,6786.9050583163,6224.61239923029,6614.57102391253,6245.79817694466,6475.25071255919,5325.4990865019,7023.14752388303,2006.16050428878,2161.70779622509,1794.06542148419,2125.16924646397,2098.37776472638,2254.97827232364,1762.44665343358,481.908297807379,2650.92318618085,923.50469689177,2510.01265725807,3236.71889916852,760.938519177751,2491.26639441178,3544.74579055957,2649.15946671953,1932.99518595037,4005.59699367261,4251.76864493061,4074.24915305018,3251.29033532066,6215.57742269905,6412.92089766371,1862.72769889361,3808.69517783863,2313.55633649626,2433.33501558061
988.212623217923,1313.57592810324,1822.25506594103,1084.55443176593,1496.82892567334,1800.88804001714,1397.51574588713,0,2551.10911823558,2130.60492165063,6035.30657542406,5577.86647032529,5721.39406080288,5808.52776773872,5070.09191787344,2241.21022702606,258.036631871539,1911.30643820739,3399.12216267889,3843.08231321531,3948.27061675276,3929.44474691193,3510.13498144742,3336.38433606722,2083.4461559811,4798.47871110724,3229.95791920195,2979.61117527394,3202.44729947699,3293.49234801306,4942.47272900067,3571.97963820312,1892.85915286782,1481.10805083339,5053.2585073205,3492.4276342352,144.678609127542,4104.46950998652,5371.35259251421,3226.54198204158,5125.44472740266,4514.13798227956,5234.4608391084,4644.50224156964,4086.94765397289,5374.57564085263,5617.94093810961,4234.59073645246,4525.52082500837,3651.37061907741,5389.21733989648,4788.17082763647,4888.58702000827,2638.47032510404,4669.73245956427,5482.98929752229,5762.01614067683,4848.65235307107,5414.76615172753,4916.58657621042,5322.23793376439,3967.14680805143,6120.19859780626,939.584295314544,946.616301233795,893.004963406868,950.717551698942,947.459407465762,874.346593963009,664.887260579496,1089.547779669,1254.44037071444,1996.0145763931,1132.02233745548,1932.84407488226,785.048840361144,1098.83719913628,2207.54905645969,1290.96526377972,549.912119416776,3176.04065517724,2910.06148232712,3103.00360366154,2014.23712540806,4864.20913228403,5366.70900844844,706.363720025696,2433.64203184054,922.940455278835,1035.8202233088
1572.95426738321,1282.24521029082,734.11908957997,1485.79405550135,1055.32099669845,1427.64309001401,2824.19067693486,2551.10911823558,0,2046.17843440687,4239.0611875928,3637.90439334085,3607.40633669984,3967.54455659301,3158.30586390265,2208.27800977334,2451.91175907192,1985.22788347797,3621.99671426288,4425.64841424017,4707.33624222854,4223.89568441237,3608.10278594127,3516.86083026306,2788.42447587985,5389.97408542646,3803.55387817166,3098.46211648339,3380.05868363547,3823.89483283506,5496.47425705049,4019.37589260589,1746.10032051556,1248.19632441015,3510.36005389353,1144.16241236157,2524.50341096823,2518.50393801837,4345.59337446656,3495.72859640106,4378.86057317545,3821.54878077259,4227.57051225741,3416.13991095016,3008.72696636856,4177.1939077308,4366.03600140995,4596.25350220246,3724.11102980993,3960.41547802334,4744.09071326869,5024.83305144371,4954.84334988734,2214.3904139734,4978.17659326462,4268.81478920829,4332.71367266744,5027.86222970719,4549.35304713444,4717.56594216605,4302.67409865741,4134.09565948707,4393.03388737241,1799.36419451651,2018.93074501245,1698.56008356539,1944.85968563805,1907.9915674469,2926.64757944879,1972.40019041655,3001.75615385984,2825.37884924005,2366.70024172466,2569.71466378982,2455.01244404645,2283.53866752556,2689.53121307294,2760.93909905273,2495.64325168463,2772.56319590365,1593.8116875085,3221.28029858612,1916.76663285035,2212.97482344404,4823.88156418771,4023.413488904,2005.20371025896,3167.92636270566,2880.61179003645,2795.40697754514
1593.93315366867,1906.08560160226,1800.6468705998,1531.72518555383,1706.44624650333,698.214112401839,1262.85418292148,2130.60492165063,2046.17843440687,0,6285.15282256756,5679.89756595796,5621.51369412509,6013.23064497574,5204.09955274301,175.653311664879,1879.99497640435,220.31083978151,1658.43528835413,2408.77652990501,2671.92052341406,2271.88938170019,1691.260919535,1560.68786025213,810.362063494645,3399.12210102353,1768.46134983782,1129.51643444978,1414.32626015734,1795.44762669894,3517.43192269302,2014.81865507603,361.454654955835,1178.84013626448,5530.65980678822,3168.20704017898,2001.55237740315,4521.40029673063,6266.69021568015,4796.06942009844,6208.95236909471,5606.9900474871,6139.3415276718,5364.26062951198,4891.80616731693,6140.5985785713,6347.03926608636,5918.00264041307,5546.24875335976,5274.29594800819,6550.10814296808,6435.61226899227,6452.18649565557,3727.36569360306,6347.67365132162,6238.68265706963,6348.19974798717,6469.53545028543,6426.63950296788,6334.07732560789,6220.62738041815,5536.81615239354,6438.7269487233,2200.21824827585,2452.5486555495,1940.63204374278,2383.1214319716,2340.72643249055,2963.75073540064,2087.75821359842,1693.97275479468,3207.47426765237,394.235490538127,2989.68415447655,3461.48800276172,1364.30105135892,3030.52820452546,3807.26613208935,3058.32167842652,2654.81345143648,3539.70019307747,4471.52367818076,3749.80549427576,3363.58179831408,6369.00054546528,6016.95444959337,2195.03145397791,4159.77343792089,2986.16426363123,3035.7809807901
